OSNR,instance,node_dst,node_src,amplifier_spacing,system_margin,fiber_loss,ampl_noise,constellation,volume,link_len,hops_id,guardband_l,guardband_r,traffic_l,traffic_r,constellation_l,constellation_r,path_id
17.69420058,1,12,7,100,3.300305244,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
14.80068943,1,12,7,100,3.300305244,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.62960612,1,12,7,100,3.300305244,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
10.17043745,1,12,7,100,3.300305244,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
9.01035234,1,12,7,100,3.300305244,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
7.984829939,1,12,7,100,3.300305244,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
16.20994529,1,12,7,100,4.786537461,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
13.31115563,1,12,7,100,4.786537461,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
10.13840196,1,12,7,100,4.786537461,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
8.689332743,1,12,7,100,4.786537461,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
7.521052818,1,12,7,100,4.786537461,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
6.497079418,1,12,7,100,4.786537461,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
20.92233151,1,12,7,100,0.072028438,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
18.0242204,1,12,7,100,0.072028438,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
14.85433517,1,12,7,100,0.072028438,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
13.40365307,1,12,7,100,0.072028438,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
12.242116,1,12,7,100,0.072028438,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.21039306,1,12,7,100,0.072028438,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
14.01507299,1,12,7,100,6.980369649,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.11366313,1,12,7,100,6.980369649,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
7.943719323,1,12,7,100,6.980369649,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
6.486869282,1,12,7,100,6.980369649,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
5.329336842,1,12,7,100,6.980369649,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
4.297432807,1,12,7,100,6.980369649,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
20.27987851,1,12,7,100,0.712719651,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
17.38100099,1,12,7,100,0.712719651,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
14.21814058,1,12,7,100,0.712719651,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
12.75785344,1,12,7,100,0.712719651,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.59810583,1,12,7,100,0.712719651,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
10.57046222,1,12,7,100,0.712719651,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
19.46545223,1,12,7,100,1.529971744,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
16.56701755,1,12,7,100,1.529971744,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
13.39491034,1,12,7,100,1.529971744,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.94508024,1,12,7,100,1.529971744,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
10.78008264,1,12,7,100,1.529971744,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
9.757354166,1,12,7,100,1.529971744,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
20.34600834,1,12,7,100,0.647625991,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
17.44637595,1,12,7,100,0.647625991,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
14.27805641,1,12,7,100,0.647625991,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
12.83185203,1,12,7,100,0.647625991,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.66513758,1,12,7,100,0.647625991,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
10.63455945,1,12,7,100,0.647625991,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
20.24015315,1,12,7,100,0.754636813,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
17.34042449,1,12,7,100,0.754636813,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
14.17054958,1,12,7,100,0.754636813,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
12.71692483,1,12,7,100,0.754636813,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.55413978,1,12,7,100,0.754636813,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
10.53370337,1,12,7,100,0.754636813,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
17.2566938,1,12,7,100,3.736003646,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
14.36167634,1,12,7,100,3.736003646,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.19880289,1,12,7,100,3.736003646,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
9.736992489,1,12,7,100,3.736003646,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
8.576054132,1,12,7,100,3.736003646,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
7.547187185,1,12,7,100,3.736003646,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
19.79615451,1,12,7,100,1.196060161,0.2,5,2,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
16.89227487,1,12,7,100,1.196060161,0.2,5,4,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
13.73196839,1,12,7,100,1.196060161,0.2,5,8,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
12.2778827,1,12,7,100,1.196060161,0.2,5,16,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
11.11262516,1,12,7,100,1.196060161,0.2,5,32,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
10.08546293,1,12,7,100,1.196060161,0.2,5,64,300,"(240,)","(12, 7)",50.0,"12,5",500,50,8,16,0
3.904148049,1,12,7,100,13.41553157,0.2,5,2,300,"(240, 80, 240)","(12, 9, 5, 7)",37.5,"12,5",50,50,16,2,1
1.052810165,1,12,7,100,13.41553157,0.2,5,4,300,"(240, 80, 240)","(12, 9, 5, 7)",37.5,"12,5",50,50,16,2,1
-2.066939748,1,12,7,100,13.41553157,0.2,5,8,300,"(240, 80, 240)","(12, 9, 5, 7)",37.5,"12,5",50,50,16,2,1
-3.532585829,1,12,7,100,13.41553157,0.2,5,16,300,"(240, 80, 240)","(12, 9, 5, 7)",37.5,"12,5",50,50,16,2,1
-4.698601697,1,12,7,100,13.41553157,0.2,5,32,300,"(240, 80, 240)","(12, 9, 5, 7)",37.5,"12,5",50,50,16,2,1
-5.697067075,1,12,7,100,13.41553157,0.2,5,64,300,"(240, 80, 240)","(12, 9, 5, 7)",37.5,"12,5",50,50,16,2,1
5.649270995,1,12,7,100,11.67735374,0.2,5,2,300,"(240, 80, 240)","(12, 9, 5, 7)",37.5,"12,5",50,50,16,2,1
