OSNR,instance,node_dst,node_src,amplifier_spacing,system_margin,fiber_loss,ampl_noise,constellation,volume,link_len,hops_id,guardband_l,guardband_r,traffic_l,traffic_r,constellation_l,constellation_r,path_id
0.12216636,1,3,14,100,9.668631766,0.2,5,8,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
-1.38534842,1,3,14,100,9.668631766,0.2,5,16,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
-2.552184448,1,3,14,100,9.668631766,0.2,5,32,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
-3.891705149,1,3,14,100,9.668631766,0.2,5,64,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
13.72653407,1,3,14,100,2.138826103,0.2,5,2,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
10.75721242,1,3,14,100,2.138826103,0.2,5,4,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
7.658989887,1,3,14,100,2.138826103,0.2,5,8,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
6.14587515,1,3,14,100,2.138826103,0.2,5,16,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
4.979532823,1,3,14,100,2.138826103,0.2,5,32,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
3.64331407,1,3,14,100,2.138826103,0.2,5,64,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
13.68292154,1,3,14,100,2.190910544,0.2,5,2,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
10.69723775,1,3,14,100,2.190910544,0.2,5,4,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
7.610191378,1,3,14,100,2.190910544,0.2,5,8,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
6.089899196,1,3,14,100,2.190910544,0.2,5,16,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
4.93032623,1,3,14,100,2.190910544,0.2,5,32,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
3.590001358,1,3,14,100,2.190910544,0.2,5,64,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
10.32793824,1,3,14,100,5.548941839,0.2,5,2,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
7.346129266,1,3,14,100,5.548941839,0.2,5,4,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
4.24943463,1,3,14,100,5.548941839,0.2,5,8,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
2.746259903,1,3,14,100,5.548941839,0.2,5,16,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
1.562950193,1,3,14,100,5.548941839,0.2,5,32,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
0.233453002,1,3,14,100,5.548941839,0.2,5,64,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
10.76637369,1,3,14,100,5.128469681,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
7.815613687,1,3,14,100,5.128469681,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
4.717877186,1,3,14,100,5.128469681,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
3.208072464,1,3,14,100,5.128469681,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
2.036158617,1,3,14,100,5.128469681,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
0.699155465,1,3,14,100,5.128469681,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
8.053659503,1,3,14,100,7.855299696,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
5.080183677,1,3,14,100,7.855299696,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
1.98263182,1,3,14,100,7.855299696,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
0.487565116,1,3,14,100,7.855299696,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-0.68983978,1,3,14,100,7.855299696,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-2.026655781,1,3,14,100,7.855299696,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
8.255314943,1,3,14,100,7.642405604,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
