OSNR,instance,node_dst,node_src,amplifier_spacing,system_margin,fiber_loss,ampl_noise,constellation,volume,link_len,hops_id,guardband_l,guardband_r,traffic_l,traffic_r,constellation_l,constellation_r,path_id
13.96375154,1,14,6,100,3.474500453,0.2,5,2,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
11.08411396,1,14,6,100,3.474500453,0.2,5,4,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
7.840594673,1,14,6,100,3.474500453,0.2,5,8,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
6.854160975,1,14,6,100,3.474500453,0.2,5,16,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
5.67692033,1,14,6,100,3.474500453,0.2,5,32,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
4.332364884,1,14,6,100,3.474500453,0.2,5,64,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
14.79871724,1,14,6,100,2.647290204,0.2,5,2,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
11.90730474,1,14,6,100,2.647290204,0.2,5,4,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
8.668362226,1,14,6,100,2.647290204,0.2,5,8,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
7.682565092,1,14,6,100,2.647290204,0.2,5,16,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
6.513161332,1,14,6,100,2.647290204,0.2,5,32,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
5.157483341,1,14,6,100,2.647290204,0.2,5,64,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
3.014874051,1,14,6,100,14.43346625,0.2,5,2,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
0.12334749,1,14,6,100,14.43346625,0.2,5,4,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
-3.11929829,1,14,6,100,14.43346625,0.2,5,8,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
-4.109975895,1,14,6,100,14.43346625,0.2,5,16,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
-5.281799808,1,14,6,100,14.43346625,0.2,5,32,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
-6.624052113,1,14,6,100,14.43346625,0.2,5,64,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
9.631142037,1,14,6,100,7.813351873,0.2,5,2,200,"(240, 40, 240)","(14, 9, 5, 6)",12.5,100,250,450,8,64,0
